cross,mean,SE,sex,environment,sire,dam
P1,3.206489019,0.2920426845,U,1,1,1
P2,7.625249363,0.7634162396,U,1,2,2
F2,4.900700137,0.6940610201,U,1,3,3
BC1,5.02182517,0.4399164335,U,1,1,3
rBC2,5.824766952,0.3875928547,U,1,3,2
