cross,mean,SE,sex,environment,sire,dam
P1,0.4593333333,0.02426964921,U,1,1,1
P2,3.76,0.1954725654,U,1,2,2
F2,2.319333333,0.5193030739,U,1,3,3
BC1,1.556,0.113035182,U,1,1,3
rBC2,2.782307692,0.2108260732,U,1,3,2
