cross,mean,SE,sex,environment,sire,dam
P1,2.719552445,0.2334454513,U,1,1,1
P2,3.603638761,0.6016688766,U,1,2,2
F2,2.918421661,0.4060046694,U,1,3,3
BC1,3.22071845,0.4218805338,U,1,1,3
rBC2,3.057632194,0.323643964,U,1,3,2
