cross,mean,SE,sex,environment,sire,dam
P1,6.522816683,0.5479797328,U,1,1,1
P2,16.47951258,1.67954809,U,1,2,2
F2,9.739500903,1.030987101,U,1,3,3
BC1,11.62506596,0.9403660416,U,1,1,3
rBC2,11.81500181,0.8011958025,U,1,3,2
