cross,mean,SE,sex,environment,sire,dam
P1,1.038318811,0.2082486584,U,1,1,1
P2,1.086268307,0.4017382248,U,1,2,2
F2,0.9476895959,0.3230882372,U,1,3,3
BC1,1.065733981,0.3700790176,U,1,1,3
rBC2,0.9927631834,0.2508136468,U,1,3,2
