cross,mean,SE,sex,environment,sire,dam
P1,1.62169999,0.2118316066,U,1,1,1
P2,1.580200273,0.3417123428,U,1,2,2
F2,1.420142672,0.3481225017,U,1,3,3
BC1,1.26091521,0.1918223153,U,1,1,3
rBC2,1.631856208,0.2417640031,U,1,3,2
