cross,mean,SE,sex,environment,sire,dam
P1,10.15521918,0.4598082241,U,1,1,1
P2,23.2138416,1.500010453,U,1,2,2
F2,13.379385,0.8818388568,U,1,3,3
BC1,14.19022123,0.8689069691,U,1,1,3
rBC2,17.53230858,0.7607440585,U,1,3,2
