cross,mean,SE,sex,environment,sire,dam
P1,1.617650199,0.05678436813,U,1,1,1
P2,1.58563884,0.09525088085,U,1,2,2
F2,1.328731029,0.06108472817,U,1,3,3
BC1,1.243467581,0.03952401332,U,1,1,3
rBC2,1.596873715,0.08196590792,U,1,3,2
