cross,mean,SE,sex,environment,sire,dam
P1,0.8559538957,0.01687969226,U,1,1,1
P2,0.4732852765,0.02400445764,U,1,2,2
F2,0.638959135,0.02544189235,U,1,3,3
BC1,0.6417597135,0.01554233064,U,1,1,3
rBC2,0.5255478908,0.0129555724,U,1,3,2
