cross,mean,SE,sex,environment,sire,dam
P1,6.533699134,0.3543070487,U,1,1,1
P2,15.87246193,2.119134833,U,1,2,2
F2,10.07699895,0.4799164276,U,1,3,3
BC1,12.34836014,1.004502884,U,1,1,3
rBC2,11.37020341,0.7940298069,U,1,3,2
