cross,mean,SE,sex,environment,sire,dam
P1,2.723302344,0.06749890438,U,1,1,1
P2,3.494440269,0.2768415185,U,1,2,2
F2,3.018940253,0.08663302733,U,1,3,3
BC1,3.389376425,0.1627969767,U,1,1,3
rBC2,3.043161568,0.1201719855,U,1,3,2
