cross,mean,SE,sex,environment,sire,dam
P1,3.207282694,0.09949531454,U,1,1,1
P2,7.404337356,0.4629732976,U,1,2,2
F2,4.797399879,0.2047031112,U,1,3,3
BC1,5.215230407,0.1784998337,U,1,1,3
rBC2,5.804475124,0.2008419189,U,1,3,2
