cross,mean,SE,sex,environment,sire,dam
P1,1.037326488,0.0529456587,U,1,1,1
P2,1.077977709,0.1313908477,U,1,2,2
F2,1.005760094,0.06621789001,U,1,3,3
BC1,1.072527783,0.0969596023,U,1,1,3
rBC2,0.996782799,0.06751460061,U,1,3,2
