cross,mean,SE,sex,environment,sire,dam
P1,10.15358106,0.2463915756,U,1,1,1
P2,23.13941997,1.764763705,U,1,2,2
F2,13.11058788,0.3957232954,U,1,3,3
BC1,14.81769361,0.7623885,U,1,1,3
rBC2,17.2413835,0.8215406456,U,1,3,2
